Event	ID	Name			Wwise Object Path	Notes
	3854155799	Play_Footsteps			\Default Work Unit\Play_Footsteps	

Switch Group	ID	Name			Wwise Object Path	Notes
	1834394558	Surface			\Footsteps With Multiple Variables\Surface	

Switch	ID	Name	Switch Group			Notes
	2058049674	Wood	Surface			
	2185786256	Gravel	Surface			
	2195636714	Dirt	Surface			
	2473969246	Metal	Surface			

Game Parameter	ID	Name			Wwise Object Path	Notes
	246300162	Footstep_Weight			\Footsteps With Multiple Variables\Footstep_Weight	0 is a light footstep and 100 is a heavy footstep.  This RTPC drives the Footstep_Weight switch

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	121114457	metalsheet_walk_heel_04_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_04_72DDC341.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_04_res		1612
	209481135	metalsheet_walk_heel_02_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_02_02295DD3.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_02_res		2296
	241699658	metalsheet_walk_toe_02_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_02_C4031908.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_02_res		2152
	269683302	metalsheet_walk_toe_01_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_01_863F8192.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_01_res		3664
	535268333	metalsheet_walk_toe_03_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_03_2C5A747A.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_03_res		4780
	664900215	metalsheet_walk_heel_01_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_01_BD645FB7.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_01_res		2116
	667657885	metalsheet_walk_toe_04_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_04_BCE77DF8.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_04_res		3952
	715100575	metalsheet_walk_heel_03_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_03_E1692614.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_03_res		2404
	753066208	metalsheet_walk_toe_05_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_05_571DC8EF.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_05_res		4096
	906530360	metalsheet_walk_heel_05_res	D:\Jenkins\ws\wwise_v2018.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_05_B7B63068.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_05_res		2188

